character,move_name,alt_names,guard,properties,damage,chip_damage,meter_on_hit,meter_on_whiff,on_hit_advantage,on_hit_effect,on_block,startup,active,recovery,hitstun,blockstun,hitstop,on_pushblock,footer,thumbnail_url,footer_url,move_category,undizzy
ANNIE,JLK,"J.LK,J LK,JUMP JLK,JUMPING JLK,JUMP LK,JUMPING LK,JUMP SHORT",High,,[300],,['2.5'],,9.0,,12,[8],[3],[8],[19],[22],[7],,[],https://wiki.gbl.gg/images/f/f0/SG_ann_jlk_hb.png,https://wiki.gbl.gg/images/f/fd/SG_ann_jlk_fd.png,LIGHT_NORMAL,15.0
ANNIE,JMK,"J.MK,J MK,JUMP JMK,JUMPING JMK,JUMP MK,JUMPING MK,JUMP FORWARD",High,,[625],,['2.5'],,3.0,,0,"[8, '(34)', 6]",[4],[20],[26],[29],[9],,['Hold to extend startup frames to float. Carries air momentum.'],https://wiki.gbl.gg/images/9/98/SG_ann_jmk_hb.png,https://wiki.gbl.gg/images/4/4b/SG_ann_jmk_fd.png,MEDIUM_NORMAL,20.0
ANNIE,JHK,"J.HK,J HK,JUMP JHK,JUMPING JHK,JUMP HK,JUMPING HK,JUMP ROUNDHOUSE,HELM BREAKER,HELMBREAKER","High, Mid",,"[800, 900]",,"['7.5', '7.5']",,,KD,-8,[18],"['Until ground', 3]",[20],"['20 (Varies)', 50]","[22, 16]","[9, 15]",,"['Causes a Ground Bounce while install is active.\n', 'Can steer while falling.']",https://wiki.gbl.gg/images/5/56/SG_ann_jhk_hb.png,https://wiki.gbl.gg/images/7/70/SG_ann_jhk_fd.png,HEAVY_NORMAL,30.0
ANNIE,6MP,"6.MP,FMP,F.MP",Low,,[500],,['7.5'],,-3.0,,-1,[16],[3],[24],[22],[18],[0],,"['Standing low.\n', 'Causes stagger if used as the first move in a chain.\n', ""Annie's only normal that does not spawn a star while in Star Power (so it can still function as a Stagger tool).""]",https://wiki.gbl.gg/images/8/8e/SG_ann_fmp_hb.png,https://wiki.gbl.gg/images/f/fb/SG_ann_fmp_fd.png,MEDIUM_NORMAL,20.0
ANNIE,6HP,"6.HP,FHP,F.HP,OVERHEAD,SLOWVERHEAD",High,,[1300],,['10'],,,Ground Bounce,-12,[28],[4],[30],[28],[20],[16],,['Command overhead.'],https://wiki.gbl.gg/images/0/08/SG_ann_fhp_hb.png,https://wiki.gbl.gg/images/e/e1/SG_ann_fhp_fd.png,HEAVY_NORMAL,30.0
ANNIE,THROW,"LPLK,LPLK,GRAB",Throw,50% Damage Scaling,[900],,['5'],,,KD,nan,[7],[1],[28],['nan'],['nan'],['nan'],nan,"['Despite her small size, Annie sports one of the longest throws in the game.\n', 'Use M Crescent Cut or L North Knuckle for meterless conversions, and H North Knuckle for corner carry.']",https://wiki.gbl.gg/images/5/5f/SG_ann_throw_hb.png,https://wiki.gbl.gg/images/4/46/SG_ann_throw_fd.png,THROW,0.0
ANNIE,AIR THROW,"JLPJLK,AT,JLPLK,J.LPLK,J.LPLK,AIR GRAB,AIRGRAB,AIRTHROW,JLPLK,JLKLP,JTHROW",Air Throw,50% Damage Scaling,[1100],,"['5', '9']",,,KD,nan,[7],[3],[18],['nan'],['nan'],['nan'],nan,['Easy to convert off of using OTG.'],https://wiki.gbl.gg/images/7/72/SG_ann_airthrow_hb.png,https://wiki.gbl.gg/images/8/86/SG_ann_airthrow_fd.png,AIR_THROW,0.0
ANNIE,TAG IN,"TAG,RAW TAG,RAWTAG,TAG OUT",Mid,Tag,[750],,['7.5'],,,Ground Bounce,-30,[43],[3],[42],[10],[13],[12],,[],https://wiki.gbl.gg/images/2/27/SG_ann_tag_hb.png,https://wiki.gbl.gg/images/c/ce/SG_ann_tag_fd.png,TAG,
ANNIE,SNAPBACK,"OUTTAKE,SNAP,SNAP BACK",Mid,Snapback,[0],,['-100'],,,nan,-16,[123],[3],[32],[14],[17],['(9) 13'],,['Snap with above average range.'],https://wiki.gbl.gg/images/e/e3/SG_ann_snap_hb.png,https://wiki.gbl.gg/images/b/b3/SG_ann_snap_fd.png,SNAP,
ANNIE,L CRESCENT CUT,"236LP,236 LP,236LP,QCFLP,QCF LP,QCFLP,QCF.LP,L GUNFLAME,L FIREBALL,L CUT,CUT L,L CRESCENT,CRESCENT L,CRESCENT CUT L",Mid,Projectile,[350],[100],['6'],['2.5'],3.0,,0,[17],"[1, 24]",[19],[15],[12],[6],,"['Annie sends out a crescent', 'See also M CRESCENT CUT, H CRESCENT CUT.']",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/b/b9/SG_ann_qcflp_fd.png,SPECIAL_MOVE,20.0
ANNIE,M CRESCENT CUT,"236MP,236 MP,236MP,QCFMP,QCF MP,QCFMP,QCF.MP,M GUNFLAME,M FIREBALL,M CUT,CUT M,M CRESCENT,CRESCENT M,CRESCENT CUT M",Mid,Projectile,[550],[200],['6'],['2.5'],10.0,,4,[23],"[1, 46]",[17],[16],[12],[8],,"['Annie sends out a crescent', 'See also L CRESCENT CUT, H CRESCENT CUT.']",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/7/73/SG_ann_qcfmp_fd.png,SPECIAL_MOVE,20.0
ANNIE,H CRESCENT CUT,"236HP,236 HP,236HP,QCFHP,QCF HP,QCFHP,QCF.HP,GUNFLAME,H GUNFLAME,H FIREBALL,H CUT,CUT H,H CRESCENT,CRESCENT H,CRESCENT CUT H,CRESCENT",Mid,Projectile,[750],[300],['6'],['2.5'],22.0,,12,[34],"[1, '-']",[14],[23],[13],[10],,"['Annie sends out a crescent', 'See also L CRESCENT CUT, M CRESCENT CUT.']",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/1/12/SG_ann_qcfhp_fd.png,SPECIAL_MOVE,20.0
ANNIE,L NORTH KNUCKLE,"214LP,214 LP,214LP,QCBLP,QCB LP,QCBLP,QCB.LP,L KNUCKLE",Mid,,[450],[100],['13.85'],['2.5'],0.0,,-2,[17],[7],[24],[24],[21],[13],,"['Annie lunges forward with a punch.\n', 'See also L NORTH KNUCKLE FOLLOWUP.']",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/a/a0/SG_ann_qcblp_fd.png,SPECIAL_MOVE,20.0
ANNIE,L NORTH KNUCKLE FOLLOWUP,"L KNUCKLE FOLLOWUP,L KNUCKLE FOLLOW UP,L KNUCKLE FOLLOW-UP,214LP~P,214 LP~P,214LP~P,QCBLP~P,QCB LP~P,QCBLP~P,QCB.LP~P,214LP,P,214 LP,P,214LP,P,QCBLP,P,QCB LP,P,QCBLP,P,QCB.LP,P,214LP, P,214 LP, P,214LP, P,QCBLP, P,QCB LP, P,QCBLP, P,QCB.LP, P,214LP P,214 LP P,214LP P,QCBLP P,QCB LP P,QCBLP P,QCB.LP P",Mid,,[600],[150],['12.60'],,,KD,-6,[5],[3],[25],[20],[20],[9],,"['L followup pops up opponents for conversions.\n', ""As an assist, applies one extra hits' worth of damage scaling.""]",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png,SPECIAL_MOVE,20.0
ANNIE,M NORTH KNUCKLE,"214MP,214 MP,214MP,QCBMP,QCB MP,QCBMP,QCB.MP,M KNUCKLE",Mid,,[550],[100],['13.85'],['2.5'],-3.0,,-5,[20],[9],[30],[27],[25],[13],,"['Annie lunges forward with a punch.\n', 'See also M NORTH KNUCKLE FOLLOWUP.']",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/2/24/SG_ann_qcbmp_fd.png,SPECIAL_MOVE,20.0
ANNIE,M NORTH KNUCKLE FOLLOWUP,"M KNUCKLE FOLLOWUP,M KNUCKLE FOLLOW UP,M KNUCKLE FOLLOW-UP,214MP~P,214 MP~P,214MP~P,QCBMP~P,QCB MP~P,QCBMP~P,QCB.MP~P,214MP,P,214 MP,P,214MP,P,QCBMP,P,QCB MP,P,QCBMP,P,QCB.MP,P,214MP, P,214 MP, P,214MP, P,QCBMP, P,QCB MP, P,QCBMP, P,QCB.MP, P,214MP P,214 MP P,214MP P,QCBMP P,QCB MP P,QCBMP P,QCB.MP P",Mid,,[750],[150],['12.60'],,,KD,-9,[5],[3],[30],[20],[22],[9],,"['M followup knocks opponents fullscreen.\n', ""As an assist, applies one extra hits' worth of damage scaling.""]",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png,SPECIAL_MOVE,20.0
ANNIE,H NORTH KNUCKLE,"214HP,214 HP,214HP,QCBHP,QCB HP,QCBHP,QCB.HP,NORTH KNUCKLE,KNUCKLE,H KNUCKLE",Mid,,[650],[100],['13.85'],['2.5'],,KD,-14,[26],[19],[26],[30],[19],[13],,"['Annie lunges forward with a punch.\n', 'Much longer range but more unsafe than other versions.\n', 'See also H NORTH KNUCKLE FOLLOWUP.']",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/3/39/SG_ann_qcbhp_fd.png,SPECIAL_MOVE,20.0
ANNIE,H NORTH KNUCKLE FOLLOWUP,"H KNUCKLE FOLLOWUP,H KNUCKLE FOLLOW UP,H KNUCKLE FOLLOW-UP,214HP~P,214 HP~P,214HP~P,QCBHP~P,QCB HP~P,QCBHP~P,QCB.HP~P,214HP,P,214 HP,P,214HP,P,QCBHP,P,QCB HP,P,QCBHP,P,QCB.HP,P,214HP, P,214 HP, P,214HP, P,QCBHP, P,QCB HP, P,QCBHP, P,QCB.HP, P,214HP P,214 HP P,214HP P,QCBHP P,QCB HP P,QCBHP P,QCB.HP P",Mid,,[900],[150],['12.60'],,,Wall Splat,-15,[5],[3],[41],[22],[27],[9],,"['Wall splats the opponent once per combo.\n', ""As an assist, applies one extra hits' worth of damage scaling.\n"", 'As an assist, blockstun reduced to 16 and blockstop reduced to 8.']",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png,SPECIAL_MOVE,20.0
ANNIE,L DESTRUCTION PILLAR,"623LP,623 LP,623LP,DPLP,DP LP,DPLP,LPDP,LP DP,L DP,LDP,L PILLAR,L VOLCANIC VIPER,L VV,LVV",Mid,Invuln. (Full) (Frame 1),[700],[100],['7.5'],['2.5'],-3.0,,-26,[9],"[2, 2]",[46],[45],[22],[12],,"['Annie does an uppercut', 'See M DESTRUCTION PILLAR, H DESTRUCTION PILLAR.']",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/1/1b/SG_ann_dplp_fd.png,SPECIAL_MOVE,20.0
ANNIE,M DESTRUCTION PILLAR,"623MP,623 MP,623MP,DPMP,DP MP,DPMP,MPDP,MP DP,M DP,MDP,M PILLAR,M VOLCANIC VIPER,M VV,MVV",Mid,Invuln. (Full) (Frame 1),[900],[150],['7.5'],['2.5'],-3.0,,-28,[11],"[2, 5]",[48],[50],[25],[16],,"['Annie does an uppercut', 'See L DESTRUCTION PILLAR, H DESTRUCTION PILLAR.']",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/a/ae/SG_ann_dpmp_fd.png,SPECIAL_MOVE,20.0
ANNIE,H DESTRUCTION PILLAR,"623HP,623 HP,623HP,DPHP,DP HP,DPHP,HPDP,HP DP,DP,H DP,HDP,DESTRUCTION PILLAR,PILLAR,H PILLAR,H VOLCANIC VIPER,H VV,HVV,VOLCANIC VIPER,VV",Mid,Invuln. (Full) (Frame 1),[1100],[200],['7.5'],['2.5'],,KD OR -20,-31,[13],"[2, 11]",[48],[40],[28],[20],,"['Annie does an uppercut', ""HP version's knockdown only occurs once per combo, currently does not work for happy birthdays.\n"", 'As an assist, blockstun reduced to 16 and blockstop reduced to 8.\n', 'See L DESTRUCTION PILLAR, M DESTRUCTION PILLAR.\n', 'See PILLAR OF CREATION for the similarly']",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/b/b5/SG_ann_dphp_fd.png,SPECIAL_MOVE,20.0
ANNIE,RE ENTRY,"J236K,J236 K,J236K,JQCFK,JQCF K,JQCFK,J.236K,J.236 K,J.236K,J.QCFK,J.QCF K,J.QCFK,J 236K,J 236 K,J 236K,J QCFK,J QCF K,J QCFK,JUMPING 236K,JUMPING 236 K,JUMPING 236K,JUMPING QCFK,JUMPING QCF K,JUMPING QCFK,RE-ENTRY,RE-ENTRY X1,RE ENTRY X1,DIVEKICK X1,DIVEKICK",Mid,,[300],[100],['7.5'],['2.5'],11.0,,-4,[15],['Until ground'],[24],[33],[20],['13 (10 on block)'],,"['Annie does up to three divekicks, with the strength determining the angle of her dive.\n', 'L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).\n', 'Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.\n', 'See also RE ENTRY X2, RE ENTRY X3.']",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/6/6c/SG_ann_jqcfkx1_fd.png,SPECIAL_MOVE,20.0
ANNIE,RE ENTRY X2,"RE-ENTRY X2,DIVEKICK X2,J236K~K,J236 K~K,J236K~K,JQCFK~K,JQCF K~K,JQCFK~K,J.236K~K,J.236 K~K,J.236K~K,J.QCFK~K,J.QCF K~K,J.QCFK~K,J 236K~K,J 236 K~K,J 236K~K,J QCFK~K,J QCF K~K,J QCFK~K,JUMPING 236K~K,JUMPING 236 K~K,JUMPING 236K~K,JUMPING QCFK~K,JUMPING QCF K~K,JUMPING QCFK~K,J236K,K,J236 K,K,J236K,K,JQCFK,K,JQCF K,K,JQCFK,K,J.236K,K,J.236 K,K,J.236K,K,J.QCFK,K,J.QCF K,K,J.QCFK,K,J 236K,K,J 236 K,K,J 236K,K,J QCFK,K,J QCF K,K,J QCFK,K,JUMPING 236K,K,JUMPING 236 K,K,JUMPING 236K,K,JUMPING QCFK,K,JUMPING QCF K,K,JUMPING QCFK,K",Mid,,[400],[100],['7.5'],['2.5'],11.0,,-4,[15],['Until ground'],[24],[33],[20],['13 (10 on block)'],,"['Annie does up to three divekicks, with the strength determining the angle of her dive.\n', 'L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).\n', 'Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards. \n', 'See also RE ENTRY, RE ENTRY X3.']",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/c/c6/SG_ann_jqcfkx2_fd.png,SPECIAL_MOVE,20.0
ANNIE,RE ENTRY X3,"RE-ENTRY X3,DIVEKICK X3,J236K~K~K,J236 K~K~K,J236K~K~K,JQCFK~K~K,JQCF K~K~K,JQCFK~K~K,J.236K~K~K,J.236 K~K~K,J.236K~K~K,J.QCFK~K~K,J.QCF K~K~K,J.QCFK~K~K,J 236K~K~K,J 236 K~K~K,J 236K~K~K,J QCFK~K~K,J QCF K~K~K,J QCFK~K~K,JUMPING 236K~K~K,JUMPING 236 K~K~K,JUMPING 236K~K~K,JUMPING QCFK~K~K,JUMPING QCF K~K~K,JUMPING QCFK~K~K,J236K,K,K,J236 K,K,K,J236K,K,K,JQCFK,K,K,JQCF K,K,K,JQCFK,K,K,J.236K,K,K,J.236 K,K,K,J.236K,K,K,J.QCFK,K,K,J.QCF K,K,K,J.QCFK,K,K,J 236K,K,K,J 236 K,K,K,J 236K,K,K,J QCFK,K,K,J QCF K,K,K,J QCFK,K,K,JUMPING 236K,K,K,JUMPING 236 K,K,K,JUMPING 236K,K,K,JUMPING QCFK,K,K,JUMPING QCF K,K,K,JUMPING QCFK,K,K",Mid,,[800],[200],['7.5'],['2.5'],,KD,-8 (At Best),[15],['Until ground'],[24],[33],[20],['13 (10 on block)'],,"['Annie does up to three divekicks, with the strength determining the angle of her dive.\n', 'L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).\n', 'Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.\n', 'See also RE ENTRY, RE ENTRY X2.']",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/8/8f/SG_ann_jqcfx3_fd.png,SPECIAL_MOVE,20.0
ANNIE,SAGAN BEAM,"236PP,236 PP,236PP,QCFPP,QCF PP,QCFPP,BEAM SUPER,LEVEL 1",Mid,"Projectile, Invuln. (Full) (Frames 9-15)","[250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250, 250]","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",['-100'],,,KD,-25,[96],[37],[37],"[34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]","[27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"['Annie fires a fullscreen beam from Sagan.\n', 'After the first projectile is made, another is made 2f later.\n', 'Can be done in the air. See AIR SAGAN BEAM.']",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png,SUPER,0.0
